nama_fasilitas,jenis_fasilitas,latitude,longitude,provinsi,kota_kabupaten
Posyandu RW 08,clinic,-6.1434106,106.7489503,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 014,clinic,-6.1457391,106.7481422,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Dahlia,clinic,-6.2469699,106.8085751,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 016,clinic,-6.139232,106.7454815,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyadu Cempaka,clinic,-6.2562601,106.7789709,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Mawar XIII,clinic,-6.1311946,106.8331041,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Mawar XII,clinic,-6.1299147,106.8365137,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Mawar I,clinic,-6.1421199,106.8361676,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Mawar VI,clinic,-6.137689,106.8356963,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Mawar,clinic,-6.1433863,106.8372523,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Klinik Bidan,clinic,-6.1358789,106.7635762,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 04,clinic,-6.1338557,106.7756081,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 01,clinic,-6.1299727,106.7754364,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Mawar X A,clinic,-6.1358037,106.8397809,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Mawar,clinic,-6.1362964,106.8353378,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Bawal 2,clinic,-6.0921387,106.7243992,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Tenggiri,clinic,-6.1314765,106.7472006,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Mawar,clinic,-5.9785739,106.7064513,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 04,clinic,-6.1520973,106.7247323,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Cempaka,clinic,-6.1284136,106.80667,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Mawar,clinic,-6.1334837,106.7984786,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Anggrek,clinic,-6.1285183,106.7963758,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 14,clinic,-6.1337686,106.8001627,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 11,clinic,-6.1315559,106.7997151,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 02,clinic,-6.1402222,106.7708769,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 05,clinic,-6.1317129,106.7747583,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 4,clinic,-6.1412148,106.791659,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Bougenvil 12,clinic,-6.1330539,106.7796139,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 13,clinic,-6.1293354,106.7761288,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu,clinic,-6.1421383,106.781257,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Kenanga I,clinic,-6.1380626,106.9228285,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Klinik Wahana,clinic,-6.1415396,106.9209222,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Mawar III,clinic,-6.1557654,106.9198727,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Teratai,clinic,-6.1448644,106.8565757,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Mawar,clinic,-6.1367892,106.8576515,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Seroja,clinic,-6.1278502,106.817594,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Mawar II,clinic,-6.129456,106.9272703,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Lansia dan Balita Melati RW 012,clinic,-6.1172463,106.9219957,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Kemuning 2,clinic,-6.1212813,106.9220272,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Cempaka,clinic,-6.1172356,106.9231725,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Lansia RW 013,clinic,-6.114526,106.9189668,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Puskesmas Kecamatan Cilincing Rusunawa Marunda,clinic,-6.0944461,106.964339,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Apotik Medicare,pharmacy,-6.1414748,106.8374457,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Klinik Anggrek,clinic,-6.1589756,106.8703155,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Ade Irma Suryani,clinic,-6.1562141,106.8673611,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 9,clinic,-6.1518793,106.8714944,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Klinik Dhil Medika,clinic,-6.1511993,106.8760286,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Mawar,clinic,-6.1344684,106.8176981,Daerah Khusus Ibukota Jakarta,DKI Jakarta
klinik sukagalih,clinic,-6.8922383,107.5910247,Jawa Barat,Kota Bandung
Amei Klinik Kecantikan,clinic,-6.1402031,106.832367,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Klinik Sahabat,clinic,-6.1313055,106.8215789,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Apotik Jaya Giri,pharmacy,-6.8119917,107.6169366,Jawa Barat,Bandung Barat
Apotek alpro,pharmacy,-6.1869898,106.829839,Daerah Khusus Ibukota Jakarta,DKI Jakarta
PUSKESMAS Kec. Curugkembar,hospital,-7.2092293,106.9320855,Jawa Barat,Sukabumi
Jaya Abadi,clinic,-6.9450171,107.6306917,Jawa Barat,Kota Bandung
Bidan Ny Ida,clinic,-6.3947374,106.818392,Jawa Barat,Depok
Bidan Murniaty,clinic,-6.1503217,106.7312212,Daerah Khusus Ibukota Jakarta,DKI Jakarta
H. Usman Pasang Gigi,dentist,-6.3986023,106.8175441,Jawa Barat,Depok
Bidan Lilis,clinic,-6.1486857,106.7322446,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Bidan Mery Lestanty,clinic,-6.3956369,106.8182088,Jawa Barat,Depok
Tidak bernama,dentist,-6.3948378,106.8199222,Jawa Barat,Depok
Apotek Anugrah Anan,pharmacy,-6.3934204,106.8204241,Jawa Barat,Depok
Bidan Puji Rochana,clinic,-6.1509486,106.7303274,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Puskesmas Sukajadi,hospital,-6.8922267,107.5943825,Jawa Barat,Kota Bandung
Tidak bernama,clinic,-6.1510862,106.7313293,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Tidak bernama,clinic,-6.1511616,106.7322304,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Irawati Dentist,dentist,-6.3726179,106.8490693,Jawa Barat,Depok
Klinik Pratama Fajar Medika,clinic,-6.1467664,106.7315437,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Kimia Farma,pharmacy,-6.2168473,106.7697851,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Puskesmas Karang Setra,hospital,-6.8773932,107.5911581,Jawa Barat,Kota Bandung
Klinik Kasih jaya,hospital,-6.9665111,107.5735337,Jawa Barat,Bandung
Tidak bernama,pharmacy,-6.1415091,106.8129764,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Tidak bernama,pharmacy,-6.1603044,106.8234372,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Tidak bernama,pharmacy,-7.2195905,107.9006283,Jawa Barat,Garut
Tidak bernama,hospital,-6.1763071,106.8448212,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Tidak bernama,hospital,-6.161971,106.7698052,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Rumah Sakit Pelita Harapan,hospital,-6.1698218,106.7837097,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Tidak bernama,hospital,-6.1348339,106.8243935,Daerah Khusus Ibukota Jakarta,DKI Jakarta
bathesda,hospital,-7.2143633,107.9091172,Jawa Barat,Garut
Kimia Farma,pharmacy,-7.2165055,107.8995425,Jawa Barat,Garut
As-Salam,pharmacy,-7.1556094,107.950981,Jawa Barat,Garut
Tidak bernama,pharmacy,-7.6392149,108.7529698,Jawa Barat,Ciamis
C2r,hospital,-6.2869306,107.3995256,Jawa Barat,Karawang
Ctm,hospital,-6.2869474,107.3993796,Jawa Barat,Karawang
Pabrik beras,hospital,-6.2879183,107.3986165,Jawa Barat,Karawang
Tidak bernama,clinic,-6.3254378,107.0363017,Jawa Barat,Bekasi
Dentista,hospital,-6.2854953,106.8335564,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Kimia Farma,pharmacy,-6.9143253,107.6981071,Jawa Barat,Kota Bandung
Klinik Pratama Bhakti Kencana,clinic,-6.9203324,107.7087704,Jawa Barat,Kota Bandung
Apotik Hadi Farma,pharmacy,-6.2314266,106.9605208,Jawa Barat,Kota Bekasi
Bidan Neneng,hospital,-6.8380039,108.6395628,Jawa Barat,Cirebon
Bidan Sarajaya,hospital,-6.8419078,108.6435442,Jawa Barat,Cirebon
Tidak bernama,hospital,-6.3365448,106.8173674,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Tidak bernama,pharmacy,-6.1733988,106.7778797,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Rumah Sakit Ketergantungan Obat,hospital,-6.3469579,106.8724481,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Cimaya Medika Center,clinic,-6.820726,107.1368761,Jawa Barat,Cianjur
Tidak bernama,pharmacy,-6.8199359,107.1447861,Jawa Barat,Cianjur
Tidak bernama,hospital,-6.8189415,107.140597,Jawa Barat,Cianjur
Tidak bernama,pharmacy,-6.8196617,107.1436127,Jawa Barat,Cianjur
Apotek Kasih,pharmacy,-6.817637,107.1432796,Jawa Barat,Cianjur
Tidak bernama,pharmacy,-6.8157495,107.1333568,Jawa Barat,Cianjur
Tidak bernama,clinic,-6.8168435,107.1357203,Jawa Barat,Cianjur
Tidak bernama,pharmacy,-6.817648,107.1364505,Jawa Barat,Cianjur
Tidak bernama,clinic,-6.8128522,107.1393682,Jawa Barat,Cianjur
Tidak bernama,clinic,-6.815437,107.1328902,Jawa Barat,Cianjur
Tidak bernama,clinic,-6.8155675,107.1330483,Jawa Barat,Cianjur
Apotek Ananda,pharmacy,-6.8161021,107.1343378,Jawa Barat,Cianjur
Tidak bernama,clinic,-6.9586756,107.0476599,Jawa Barat,Sukabumi
Tidak bernama,hospital,-6.9201977,107.6140117,Jawa Barat,Kota Bandung
Puskesmas Cimahi Tengah,hospital,-6.8723378,107.5420574,Jawa Barat,Cimahi
Century,pharmacy,-6.2516247,106.8614465,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Apotek Sion,pharmacy,-6.1973912,106.891794,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Eva Mulia,clinic,-6.1616576,106.9048771,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Apotek Gading Jaya,pharmacy,-6.1615556,106.9049415,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Natasha Skincare,clinic,-6.1612376,106.9046518,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Apotik Pelita Sari,pharmacy,-6.1380597,106.8718004,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Apotek K-24,pharmacy,-6.1376524,106.8726788,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Carla Skin Clinic,clinic,-6.1538407,106.8933289,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Toko Obat Naga Mas,pharmacy,-6.1665833,106.901288,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Klinik Utama Cahaya Mentari,clinic,-6.1428829,106.8566912,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Klinik Umum dan Bersalin dr. Enggi Medical Center,clinic,-6.1447277,106.8567342,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Anggrek RW 7,clinic,-6.1154681,106.8750644,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Klinik Pratama Global Medika,clinic,-6.1231082,106.9057891,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Dokter Gigi Novy Bun,dentist,-6.1387423,106.8659046,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Dokter Kurniawan,doctors,-6.1387387,106.8659184,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Apotik Asia,pharmacy,-6.1385547,106.8640405,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Dokter Gigi Roby,dentist,-6.1391307,106.8638125,Daerah Khusus Ibukota Jakarta,DKI Jakarta
bmderma,dentist,-6.139364,106.8626042,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Toko Obat Family,pharmacy,-6.1527853,106.9258577,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Dokter Umum Liliyana,doctors,-6.1307635,106.9198667,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Dokter Gigi IRA W. Budisetio,dentist,-6.1307768,106.9198405,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Yakri,clinic,-6.1290473,106.9181044,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Dokter Umum Akupuntur Dr sriwidiani,doctors,-6.1294067,106.9186067,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Apotek Super Farma,pharmacy,-6.12964,106.9191646,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Dokter Randhika - Kecantikan dan Akupuntur,doctors,-6.1294534,106.9242501,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Apotek Pimisi,pharmacy,-6.1510533,106.8767334,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Praktek Dokter Gigi LM Dental Care,dentist,-6.1417042,106.8404324,Daerah Khusus Ibukota Jakarta,DKI Jakarta
posyandu cempaka RW 15,clinic,-6.1200372,106.8664826,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 11,clinic,-6.1112623,106.8803403,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Praktek Umum,doctors,-6.1570675,106.8733893,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Apotek Medika Sisma Pharma,pharmacy,-6.1571281,106.8666523,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Praktek Dokter Umum dr. Rosalita,doctors,-6.1347001,106.8431749,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Praktek Dokter Umum dr. Rudy Wenarta,pharmacy,-6.1382613,106.8452174,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Praktek Dokter Umum dr. Sugiarto Sulaiman,pharmacy,-6.1382946,106.8452027,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Apotek Cahaya Sehat,pharmacy,-6.1382253,106.8452315,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Praktek Dokter Umum Dr. Lie Hermanto,doctors,-6.1407955,106.8436557,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Praktek Dokter Umum dr. Ratnayati A Halim,doctors,-6.1407601,106.8436778,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Apotek Pademangan Sehat,pharmacy,-6.1407788,106.8436671,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Praktek Dokter A. Rahman Wahab,doctors,-6.1130412,106.9129318,Daerah Khusus Ibukota Jakarta,DKI Jakarta
dr. Ermita,doctors,-6.1164232,106.9128554,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Praktek Dokter Gigi Lissa Florentia,dentist,-6.1205709,106.9133616,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Praktek Dokter Umum Leleng Melisa,doctors,-6.1206076,106.9133596,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Apotek Mitra Sehat,pharmacy,-6.1206326,106.9133579,Daerah Khusus Ibukota Jakarta,DKI Jakarta
apotek dunia sehat,pharmacy,-6.1173029,106.7831632,Daerah Khusus Ibukota Jakarta,DKI Jakarta
apotik tiara,pharmacy,-6.1175989,106.7827731,Daerah Khusus Ibukota Jakarta,DKI Jakarta
"Dr. noviati tanoto, spa",doctors,-6.1174503,106.7822217,Daerah Khusus Ibukota Jakarta,DKI Jakarta
apotik sari murni,pharmacy,-6.1168136,106.781112,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Apotik AN,pharmacy,-6.1167884,106.7808493,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Apotek PIK,pharmacy,-6.1159589,106.7808797,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Apotek MK pluit,pharmacy,-6.1163408,106.780835,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Dgr. Lely Dharma,dentist,-6.1161588,106.7795315,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Apotek Aneka Sehat,pharmacy,-6.1164662,106.7797427,Daerah Khusus Ibukota Jakarta,DKI Jakarta
apotek century,pharmacy,-6.1168109,106.7795234,Daerah Khusus Ibukota Jakarta,DKI Jakarta
drg. Lenny,dentist,-6.1167395,106.7791083,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Apotik JJ,pharmacy,-6.1171276,106.7778115,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Excellence Dental Care,dentist,-6.1124671,106.7866386,Daerah Khusus Ibukota Jakarta,DKI Jakarta
drg. elline sp. kg,dentist,-6.1124881,106.7827528,Daerah Khusus Ibukota Jakarta,DKI Jakarta
"dr. dr. darwis hartono, MHA, PKK",doctors,-6.1124584,106.7827448,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Praktek Dokter dr. Benny Sutanto,doctors,-6.1551288,106.8621925,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Praktek Dokter dr. Thong Tatang Tirta,doctors,-6.1551114,106.8621482,Daerah Khusus Ibukota Jakarta,DKI Jakarta
drg. Rudi Santoso,dentist,-6.1152477,106.8903556,Daerah Khusus Ibukota Jakarta,DKI Jakarta
"dr. Setio Indriatin, SpGK",doctors,-6.1293747,106.8866971,Daerah Khusus Ibukota Jakarta,DKI Jakarta
drg. Riris Darudjadmi,dentist,-6.129352,106.8866917,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Praktek Dokter Umum dr. Linda Rosalina P,doctors,-6.1363542,106.8354599,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Apotek Bintang Jaya,pharmacy,-6.1343287,106.838415,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Oda Dental Clinic,dentist,-6.152166,106.8903288,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Praktek Dokter Gigi Ernie,dentist,-6.1142986,106.8988519,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Praktek Dokter Slamet Ryanto,doctors,-6.1142953,106.8988073,Daerah Khusus Ibukota Jakarta,DKI Jakarta
c.o dental care,dentist,-6.1342891,106.7817564,Daerah Khusus Ibukota Jakarta,DKI Jakarta
toko obat sentosa,pharmacy,-6.1345164,106.7819609,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Dr. mathilda kurniawan,doctors,-6.1348991,106.7817993,Daerah Khusus Ibukota Jakarta,DKI Jakarta
toko obat segar baru,pharmacy,-6.1351671,106.7820031,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Toko Obat Bintang JJHO,pharmacy,-6.1350838,106.7820018,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Dr Sulaiman,doctors,-6.1355198,106.7818757,Daerah Khusus Ibukota Jakarta,DKI Jakarta
apotek sehat rezeki makmur,pharmacy,-6.1372799,106.7889735,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Dr. witarun hamid,doctors,-6.1377706,106.7838009,Daerah Khusus Ibukota Jakarta,DKI Jakarta
apotek toba,pharmacy,-6.138268,106.7825603,Daerah Khusus Ibukota Jakarta,DKI Jakarta
apotik sehat utama,pharmacy,-6.138212,106.7818093,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Dr. indra w,dentist,-6.1373933,106.7805715,Daerah Khusus Ibukota Jakarta,DKI Jakarta
apotik mulya farma,pharmacy,-6.1383316,106.7805497,Daerah Khusus Ibukota Jakarta,DKI Jakarta
apotik teluk gong jaya,pharmacy,-6.1383276,106.7806114,Daerah Khusus Ibukota Jakarta,DKI Jakarta
apotik aneka prima,pharmacy,-6.138322,106.7806721,Daerah Khusus Ibukota Jakarta,DKI Jakarta
apotik bahagia,pharmacy,-6.138322,106.780827,Daerah Khusus Ibukota Jakarta,DKI Jakarta
apotek sumber rezeki,pharmacy,-6.1383146,106.7807364,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Dr. sentosa,doctors,-6.138268,106.7791365,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Dr. hadi. r. Indra djaja,dentist,-6.1382793,106.7789367,Daerah Khusus Ibukota Jakarta,DKI Jakarta
apotek sumber jaya,pharmacy,-6.1383306,106.7784546,Daerah Khusus Ibukota Jakarta,DKI Jakarta
apotek roxy,pharmacy,-6.1383273,106.7782849,Daerah Khusus Ibukota Jakarta,DKI Jakarta
apotek cipto,pharmacy,-6.1387741,106.7779082,Daerah Khusus Ibukota Jakarta,DKI Jakarta
dokter Gigi Fanny liliani,dentist,-6.1191611,106.7925355,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Klinik Pratama Mudita,clinic,-6.1322756,106.8694371,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Dahlia 2,clinic,-6.1298487,106.8750905,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Praktek Dokter Umum dr. Richard,doctors,-6.1295767,106.8032697,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Klinik Anggrek,clinic,-6.129538,106.8009469,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Apotek Tapas,pharmacy,-6.1293834,106.7954564,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Balai Pengobatan Umum (BPU) Pesona,clinic,-6.1301914,106.7968961,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Ancol Medical Center,clinic,-6.1292645,106.8218034,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Kantor Kesehatan Pelabuhan Kelas 1 Wilayah Kerry Pelabuhan Samudera Muara Baru,clinic,-6.10293,106.8012741,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Klinik Pratama Yakdi Medikal,clinic,-6.1220534,106.8042014,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Klinik Umum & Gigi Alam Medika,clinic,-6.124887,106.8034588,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Praktek Dokter Umum dr. Wardi Latief,doctors,-6.1277166,106.8044592,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Praktek Dokter Umum DR. Usman Nur,doctors,-6.1298461,106.7954396,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Puskesmas Sekeloa,hospital,-6.8896755,107.6168415,Jawa Barat,Kota Bandung
Tidak bernama,pharmacy,-6.1708518,106.8106789,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Laboratorium Klinik Prodia,clinic,-6.1718034,106.8113523,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Tidak bernama,dentist,-6.1678592,106.8109617,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Tidak bernama,pharmacy,-6.1663367,106.8080121,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Tidak bernama,pharmacy,-6.1661537,106.8080445,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Tidak bernama,clinic,-6.1766728,106.8120004,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Tidak bernama,pharmacy,-6.1727668,106.8110209,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Tidak bernama,doctors,-6.1740589,106.8092585,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Tidak bernama,pharmacy,-6.1691867,106.8085375,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Tidak bernama,pharmacy,-6.1701437,106.8172161,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Tidak bernama,clinic,-6.1602325,106.8176191,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Wira,clinic,-6.1610008,106.8113737,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Tidak bernama,pharmacy,-6.1776757,106.8160129,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Tidak bernama,doctors,-6.1779994,106.8144645,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Tidak bernama,pharmacy,-6.1814292,106.8162921,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Tidak bernama,clinic,-6.1796746,106.8137949,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Tidak bernama,clinic,-6.1794326,106.8144981,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Tidak bernama,clinic,-6.1466763,106.8157356,Daerah Khusus Ibukota Jakarta,DKI Jakarta
drg. R. Poppy Pratiwi,dentist,-6.2385755,106.8569603,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Tidak bernama,dentist,-6.1878279,106.8184332,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Tidak bernama,pharmacy,-6.1883801,106.8159881,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Tidak bernama,pharmacy,-6.189578,106.8187531,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Tidak bernama,pharmacy,-6.1754275,106.8077729,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Tidak bernama,dentist,-6.1698621,106.8046453,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Tidak bernama,pharmacy,-6.1657319,106.7986333,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Tidak bernama,dentist,-6.1780259,106.810611,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Tidak bernama,dentist,-6.1656378,106.7987768,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Tidak bernama,dentist,-6.1653924,106.7968426,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Tidak bernama,pharmacy,-6.1648809,106.7967833,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Tidak bernama,doctors,-6.1648998,106.7966832,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Tidak bernama,doctors,-6.1643086,106.7966208,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Tidak bernama,pharmacy,-6.1642877,106.7967224,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Tidak bernama,pharmacy,-6.1632072,106.7966411,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Tidak bernama,doctors,-6.1640826,106.7918546,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Tidak bernama,pharmacy,-6.1641688,106.7918597,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Tidak bernama,clinic,-6.1642537,106.7937199,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Tidak bernama,dentist,-6.1625752,106.796327,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Tidak bernama,clinic,-6.1713459,106.7895516,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Tidak bernama,doctors,-6.1738846,106.7948685,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Tidak bernama,clinic,-6.1764946,106.7896178,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Tidak bernama,doctors,-6.1736698,106.7813039,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Century,pharmacy,-6.1754413,106.7837473,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Roxy,pharmacy,-6.1756835,106.7837674,Daerah Khusus Ibukota Jakarta,DKI Jakarta
